County,FIPS,White Under 15,White 15 to 19,White 20 to 24,White 25 to 29,White 30 to 34,White 35 to 39,White 40+,Black Under 15,Black 15 to 19,Black 20 to 24,Black 25 to 29,Black 30 to 34,Black 35 to 39,Black 40+,Asian Under 15,Asian 15 to 19,Asian 20 to 24,Asian 25 to 29,Asian 30 to 34,Asian 35 to 39,Asian 40+,Other Under 15,Other 15 to 19,Other 20 to 24,Other 25 to 29,Other 30 to 34,Other 35 to 39,Other 40+,Hispanic Under 15,Hispanic 15 to 19,Hispanic 20 to 24,Hispanic 25 to 29,Hispanic 30 to 34,Hispanic 35 to 39,Hispanic 40+
JIM HOGG,247,32,7,6,3,7,4,91,0,0,0,0,0,0,0,5,0,0,0,0,2,6,1,2,4,5,1,1,5,521,167,128,107,119,120,962
JIM WELLS,249,494,179,145,194,141,186,1864,16,4,6,2,3,3,19,5,1,5,3,18,20,29,38,5,12,7,6,4,50,3511,1072,973,1016,963,981,6967
JOHNSON,251,10675,4128,3420,3880,4304,4322,36105,551,229,200,156,188,205,1218,99,33,25,31,64,65,277,865,276,228,182,163,127,774,5666,1992,1657,1555,1453,1421,6421
JONES,253,762,277,199,250,280,280,2950,30,21,16,9,9,10,138,4,3,3,4,0,2,13,59,10,9,6,10,8,65,468,188,132,112,107,125,743
KARNES,255,307,132,125,126,119,115,1471,17,8,6,6,2,7,48,1,0,0,2,1,0,9,24,9,8,3,7,4,27,837,272,265,237,279,245,1383
KAUFMAN,257,8606,3093,2411,2947,3460,3614,26378,1885,674,492,555,702,798,3617,127,57,35,57,69,75,333,626,183,120,139,89,91,474,4973,1732,1243,1389,1392,1435,4787
KENDALL,259,2330,1173,800,756,701,910,10427,23,6,6,3,1,8,29,13,10,5,5,8,13,72,75,38,24,16,10,15,126,1364,523,355,347,397,498,2451
KENEDY,261,5,2,4,1,1,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,13,10,5,9,6,73
KENT,263,52,16,10,17,15,22,181,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,1,0,0,0,2,10,6,5,0,2,0,32
KERR,265,1873,801,804,748,840,784,12653,54,27,28,22,26,6,164,36,13,12,27,25,19,127,91,29,41,29,21,21,257,1795,653,615,618,527,553,3095
KIMBLE,267,171,53,57,62,59,59,1017,2,0,0,0,0,0,0,0,2,1,0,0,0,3,1,0,0,0,1,0,11,140,54,49,47,30,31,296
KING,269,22,14,5,5,1,10,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,2,0,7
KINNEY,271,59,19,13,15,10,17,383,1,0,1,0,0,1,5,0,0,0,0,0,0,0,5,5,3,3,0,0,10,174,56,52,51,38,54,417
KLEBERG,273,396,126,297,270,159,137,1360,87,24,116,45,21,23,156,20,35,68,42,7,15,95,56,8,51,17,7,9,45,2254,932,1819,999,566,644,4060
KNOX,275,141,50,38,49,43,52,586,9,6,7,4,2,7,65,0,0,0,0,0,0,2,10,1,0,0,2,0,4,173,61,32,40,40,45,210
LA SALLE,283,52,12,10,19,23,21,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,4,428,141,177,163,157,160,1095
LAMAR,277,2777,992,968,1078,1152,1017,10771,609,224,225,231,237,197,1623,25,14,15,14,10,9,101,436,99,80,96,79,60,386,677,218,192,152,132,114,527
LAMB,279,350,118,103,116,109,117,1517,61,14,17,19,9,14,150,5,0,0,1,0,0,3,40,10,10,7,15,1,63,907,333,223,207,224,231,1405
LAMPASAS,281,1040,462,335,368,369,465,4955,53,23,17,15,12,19,161,13,1,8,9,2,4,105,145,40,30,26,20,18,203,577,198,153,167,133,136,907
LAVACA,285,1071,420,306,339,346,385,4592,140,46,60,41,33,36,385,9,2,0,2,2,0,22,36,9,9,6,11,8,49,592,213,152,144,130,159,718
LEE,287,701,216,181,278,264,319,3392,109,45,32,54,49,47,493,4,1,1,3,1,3,15,51,23,12,9,2,12,83,546,187,167,191,184,150,751
LEON,289,833,329,244,290,264,297,3761,74,29,26,27,22,18,330,9,5,5,3,0,2,34,29,7,5,7,6,3,79,341,125,84,67,61,77,359
LIBERTY,291,5205,1769,1655,2096,2134,1979,16438,711,261,333,467,397,302,2313,40,37,36,18,13,17,103,332,82,68,55,45,40,325,3778,1154,970,922,841,842,3192
LIMESTONE,293,786,260,227,318,310,298,4007,297,111,102,120,124,113,954,9,0,12,4,0,7,18,95,21,20,12,13,10,94,731,210,203,173,158,152,745
LIPSCOMB,295,122,53,42,37,43,48,571,0,0,0,0,0,0,0,5,1,0,0,2,1,0,8,4,5,0,1,1,15,138,52,32,23,18,34,160
LIVE OAK,297,394,153,104,143,152,139,1932,11,5,5,3,1,5,10,1,1,5,2,0,0,10,13,3,4,2,5,0,28,412,120,123,131,104,119,846
LLANO,299,850,295,284,335,315,326,7110,11,1,0,3,10,6,30,7,6,3,3,1,2,44,32,6,11,12,6,4,111,291,114,83,80,92,62,548
LOVING,301,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LUBBOCK,303,11087,5037,11711,6389,4712,4865,39078,2356,958,1319,1027,754,703,4183,442,213,558,413,240,226,1445,784,246,413,294,186,131,848,13639,4925,6705,5178,4036,3879,19250
LYNN,305,226,63,47,65,77,93,671,8,2,1,5,3,3,31,0,0,0,0,0,0,5,6,0,4,4,4,2,9,314,129,82,72,79,93,541
MADISON,313,524,181,151,213,184,156,1914,164,67,81,56,41,49,409,4,6,19,9,0,2,9,54,13,4,9,7,13,63,395,120,104,120,77,71,404
MARION,315,405,140,115,148,148,168,2210,144,57,71,63,63,60,719,5,0,0,0,0,3,18,47,16,13,6,5,3,101,52,20,11,7,14,23,81
MARTIN,317,274,95,66,68,58,88,599,6,2,3,1,2,1,0,0,0,0,1,0,0,0,9,2,4,0,3,0,13,356,115,85,82,106,110,439
MASON,319,146,59,56,56,40,60,971,1,1,0,0,2,1,2,0,0,0,0,0,0,3,7,3,3,1,0,0,8,92,45,32,24,26,31,222
MATAGORDA,321,1092,387,302,422,420,452,4704,380,123,106,138,130,99,1041,39,23,27,28,12,17,202,68,19,16,12,14,18,74,2069,617,551,547,540,441,2860
MAVERICK,323,173,66,45,59,50,68,386,4,4,4,2,5,2,7,3,11,3,6,1,5,29,109,43,26,21,24,24,110,6520,2286,2000,1939,1640,1542,11036
MCCULLOCH,307,282,108,100,130,121,112,1557,14,4,7,5,0,4,27,1,0,1,1,2,1,2,19,2,1,0,4,2,26,256,106,89,74,81,63,524
MCLENNAN,309,9699,4669,7438,4362,4224,4145,37485,3741,1531,2088,1583,1320,1141,8486,296,221,517,153,178,163,856,1094,347,378,221,170,128,733,9204,3511,3509,2833,2477,2245,10980
MCMULLEN,311,29,14,5,9,7,9,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,12,5,4,6,12,50
MEDINA,325,1484,606,462,491,504,592,6551,38,12,17,18,10,8,118,17,3,7,2,10,19,109,86,31,20,21,16,21,147,2774,1098,886,832,862,870,5915
MENARD,327,66,21,18,17,17,23,400,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,69,25,23,26,12,19,237
MIDLAND,329,6578,1681,1569,2669,3022,2755,16759,1166,344,332,378,404,365,1891,342,115,105,132,153,192,506,552,99,101,112,119,89,365,10617,3195,2891,3498,3472,3130,11963
MILAM,331,884,390,280,367,337,376,4849,202,68,61,68,62,52,618,5,1,1,7,11,7,33,63,16,12,16,4,8,71,976,359,276,231,204,259,1285
MILLS,333,192,97,72,69,56,79,1149,4,2,2,0,0,0,1,0,0,0,0,0,0,0,11,0,0,3,3,1,15,104,36,35,24,25,18,195
MITCHELL,335,332,97,81,111,85,118,1192,36,12,8,6,6,3,55,2,1,0,0,0,2,8,24,4,4,2,1,2,19,348,101,82,87,80,94,582
MONTAGUE,337,1315,458,408,422,483,445,5097,9,4,6,0,0,0,5,5,2,0,0,2,4,21,45,17,8,13,5,5,113,388,103,112,97,81,93,349
MONTGOMERY,339,33529,12584,10341,12351,12393,13552,115142,3319,1140,1095,1292,1219,1260,6966,1702,610,563,616,807,972,4964,2454,728,552,518,439,407,2327,22265,7915,6402,6064,5540,6074,27459
MOORE,341,533,186,142,194,174,184,1842,43,11,13,7,9,5,25,288,68,57,70,103,76,286,69,14,6,10,3,8,75,1665,532,412,437,351,358,1814
MORRIS,343,553,199,156,186,208,223,2432,192,85,80,100,80,73,772,6,0,3,1,1,0,15,67,18,23,12,7,5,77,196,58,48,47,35,31,171
MOTLEY,345,56,21,15,19,17,13,291,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,6,5,1,5,6,34
NACOGDOCHES,347,2481,1156,3141,1267,767,977,9675,1060,508,1089,514,295,313,2305,76,56,94,34,30,40,265,303,81,132,43,17,31,203,1851,669,906,485,300,322,1641
NAVARRO,349,2163,783,646,776,843,785,9258,689,204,217,229,239,196,1803,26,7,15,6,16,13,75,340,57,52,48,59,54,212,2147,765,613,553,424,450,2185
NEWTON,351,584,239,210,226,228,218,2630,158,84,64,60,47,65,692,2,5,1,0,0,1,8,47,13,7,9,5,6,62,54,19,23,12,13,5,63
NOLAN,353,650,227,156,200,214,219,2287,74,24,19,19,18,14,154,10,0,1,1,0,2,20,41,9,7,3,4,1,35,667,242,187,165,163,192,1163
NUECES,355,6477,2072,2905,3085,3037,3012,27814,1083,409,559,482,392,414,2712,595,266,299,233,254,293,2027,666,199,215,206,152,142,858,23665,8535,8902,8325,7765,7817,49766
OCHILTREE,357,355,134,96,110,125,140,1142,1,1,0,0,0,1,0,2,1,0,2,1,2,5,19,3,6,5,2,2,26,805,318,218,184,184,177,795
OLDHAM,359,67,38,27,46,36,57,396,2,9,2,5,2,1,3,0,1,0,0,0,0,0,2,2,2,0,3,0,3,19,9,3,8,7,11,48
ORANGE,361,5744,2043,1818,2117,2215,2186,17980,848,285,251,328,261,224,1708,75,33,59,48,25,31,226,282,58,60,68,52,37,305,858,234,209,229,209,195,889
PALO PINTO,363,1507,543,503,582,626,578,6297,69,24,24,13,14,17,166,13,4,2,4,8,5,34,72,20,22,16,6,16,122,821,296,273,241,205,178,1029
PANOLA,365,1190,500,431,419,404,465,4633,301,122,116,111,121,94,1027,9,8,5,2,1,1,22,70,17,16,14,9,9,78,313,126,86,73,62,63,297
PARKER,367,10589,4079,3139,3320,3970,4289,35146,207,74,95,62,59,48,453,53,35,25,37,25,41,229,506,135,114,117,113,92,643,2582,898,743,698,656,647,3269
PARMER,369,230,68,65,75,66,89,989,9,5,5,1,3,2,31,0,0,0,4,2,2,0,3,3,1,1,2,2,7,747,291,215,195,175,189,1163
PECOS,371,237,65,63,94,74,96,822,13,6,3,4,3,5,16,13,0,3,6,0,2,25,31,2,7,5,5,5,34,1213,413,290,339,350,354,1916
POLK,373,2371,826,677,829,873,845,11142,400,133,144,151,111,96,1011,19,6,2,10,4,20,80,251,55,57,54,36,31,339,879,263,233,228,203,228,1111
POTTER,375,3548,1276,1267,1483,1499,1591,14374,1153,327,292,362,362,278,1713,769,271,225,211,237,242,1055,524,141,123,108,82,64,487,6115,1957,1852,1804,1637,1519,7073
PRESIDIO,377,61,7,14,25,22,41,295,2,0,0,2,0,0,0,7,2,3,1,0,0,9,1,0,1,2,0,0,18,564,175,139,143,117,126,1194
RAINS,379,689,257,200,236,290,294,3333,23,2,10,8,5,7,74,2,0,3,0,0,6,21,37,6,8,5,4,7,64,143,42,40,39,28,36,213
RANDALL,381,7510,2913,3257,3048,3203,3317,27175,478,173,214,188,123,137,599,201,76,98,93,81,111,406,545,125,165,157,82,91,528,4308,1530,1597,1565,1394,1524,5170
REAGAN,383,74,12,15,23,29,36,287,6,4,2,0,0,0,9,0,0,0,0,0,0,0,1,1,0,1,0,0,2,291,95,96,64,55,77,375
REAL,385,81,22,29,33,40,35,715,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,1,3,1,2,20,79,25,19,21,16,29,177
RED RIVER,387,556,176,173,199,188,217,2674,164,49,56,52,55,53,658,0,0,3,0,0,0,4,51,12,13,12,13,5,89,120,45,24,32,23,27,156
REEVES,389,146,42,47,67,40,52,426,15,10,15,11,11,7,43,10,1,4,3,10,6,24,12,1,4,1,1,1,11,1147,326,301,315,300,319,1961
REFUGIO,391,171,64,56,66,58,65,886,35,9,6,11,9,6,111,0,1,0,0,0,0,5,10,4,1,2,1,2,18,392,127,114,101,102,123,861
ROBERTS,393,71,27,19,19,23,24,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,4,1,4,4,14
ROBERTSON,395,658,191,192,234,223,271,2897,303,101,86,117,124,92,960,6,2,5,0,1,5,29,29,9,10,7,1,6,43,524,175,135,130,129,170,639
ROCKWALL,397,6880,2982,2162,2144,2034,2889,22327,743,329,223,201,209,286,1521,298,132,123,92,112,134,914,411,121,89,89,57,70,374,2706,965,743,708,738,874,3565
RUNNELS,399,428,166,136,126,145,176,1789,14,6,3,4,4,4,33,0,0,0,0,0,1,3,11,2,7,5,9,5,32,385,156,144,110,96,130,705
RUSK,401,2343,892,724,834,954,928,9021,542,207,198,217,210,204,2016,13,3,5,6,18,8,47,175,54,49,39,18,20,208,1266,418,383,289,263,263,1233
SABINE,403,482,208,160,180,179,171,2734,65,22,24,17,20,13,218,3,1,0,0,0,0,14,40,11,14,11,7,5,80,74,28,16,12,22,9,88
SAN AUGUSTINE,405,338,97,100,144,123,107,1754,164,80,36,41,55,46,551,0,0,1,1,0,2,3,13,3,7,7,5,3,15,94,26,20,23,9,24,89
SAN JACINTO,407,1332,497,424,518,516,511,6063,186,79,74,91,72,61,793,16,7,0,6,2,1,45,92,31,16,18,8,9,115,519,182,146,149,138,131,745
SAN PATRICIO,409,1890,699,574,743,789,811,7221,88,28,19,36,31,34,162,37,20,21,14,17,22,180,126,51,37,28,23,29,176,4662,1686,1344,1292,1360,1405,8195
SAN SABA,411,204,86,59,68,76,68,1178,0,6,0,0,0,0,3,0,0,0,0,0,0,2,5,5,6,4,1,2,21,229,60,43,55,53,47,290
SCHLEICHER,413,72,27,26,16,25,25,316,1,1,4,1,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,3,137,66,49,40,48,56,288
SCURRY,415,586,193,212,222,231,229,2346,33,9,20,12,8,4,66,3,3,0,0,0,5,10,36,13,11,10,5,5,26,943,307,251,238,190,225,1093
SHACKELFORD,417,200,90,48,80,57,72,791,0,0,0,0,0,0,0,2,0,0,3,0,0,1,11,2,1,0,0,1,4,41,19,14,15,5,10,74
SHELBY,419,1153,410,329,408,399,353,4256,401,134,141,144,145,124,1075,12,1,0,6,5,4,23,47,13,12,9,5,7,48,766,236,191,145,152,135,613
SHERMAN,421,100,37,23,41,38,41,412,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,1,0,0,0,7,169,61,37,38,30,43,204
SMITH,423,10049,3965,3899,4251,4605,4247,40028,3620,1803,1577,1690,1565,1400,9698,343,181,162,120,128,185,1004,887,211,199,192,187,121,778,6779,2269,2174,1963,1800,1652,6936
SOMERVELL,425,518,204,132,185,171,194,2112,2,6,1,1,0,4,0,4,5,2,2,4,3,10,27,12,12,4,4,2,48,216,101,76,78,79,86,395
STARR,427,243,104,108,88,75,62,678,3,0,0,0,0,0,0,6,4,2,6,3,4,36,8,0,4,5,4,2,13,8256,2682,2405,2310,1822,1752,12344
STEPHENS,429,388,171,121,153,148,159,1948,16,6,5,1,2,3,28,6,0,0,0,0,0,5,18,5,4,4,3,5,24,303,103,66,83,84,82,368
STERLING,431,89,31,23,12,19,29,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,1,2,6,67,20,18,9,17,18,81
STONEWALL,433,68,33,18,25,18,23,310,0,0,0,2,2,0,6,2,1,0,0,0,0,1,1,0,0,0,0,0,4,21,8,4,9,4,8,49
SUTTON,435,75,36,23,30,22,32,387,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,1,214,81,70,64,54,47,468
SWISHER,437,178,82,67,78,52,85,961,43,19,18,7,5,9,65,0,0,0,0,0,0,0,25,1,4,7,5,4,27,388,117,105,107,94,90,520
TARRANT,439,68715,26875,26078,32189,33712,32302,268120,36502,13645,13232,15175,14432,14127,74611,9661,4225,4736,5326,5237,5201,28594,10297,3213,2646,2453,2195,1835,8977,79946,28499,25742,25413,22982,22134,101260
TAYLOR,441,6775,2771,4487,3108,2955,2775,21958,1101,478,601,446,362,308,1603,205,88,263,173,145,136,687,915,202,344,215,120,141,571,4798,1713,1872,1590,1350,1368,5750
TERRELL,443,21,12,1,3,9,8,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,37,10,8,8,8,13,96
TERRY,445,365,111,96,104,108,98,1232,34,19,10,11,7,10,81,2,0,0,0,1,2,2,18,2,4,3,5,2,16,807,269,229,183,193,188,1174
THROCKMORTON,447,103,24,13,27,29,33,419,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,5,23,11,6,5,4,8,53
TITUS,449,959,387,339,333,397,346,4177,314,104,101,108,112,78,776,13,11,11,7,5,3,68,102,23,31,11,22,8,85,2073,689,562,541,434,402,1988
TOM GREEN,451,4300,1589,2316,1823,2087,1915,16145,339,164,252,170,155,137,752,107,33,51,52,61,82,278,329,98,160,100,86,57,390,5985,1998,2207,2042,1971,1833,9319
TRAVIS,453,36074,12774,17822,26181,31504,27709,152531,8666,3201,3943,4938,4977,4285,23610,5729,2461,4100,4460,5174,4012,17385,5172,1441,1446,1753,1817,1350,4791,49686,17081,18027,20308,21252,18244,78042
TRINITY,455,638,232,204,253,255,270,3601,96,50,35,47,33,36,422,2,1,3,4,0,0,15,34,14,9,8,5,5,78,190,67,48,40,34,31,225
TYLER,457,1081,429,338,393,336,374,4702,129,53,50,42,44,41,435,10,1,0,0,0,3,10,64,15,23,15,11,6,79,122,43,22,18,16,33,136
UPSHUR,459,2569,946,744,884,1034,936,9222,234,102,111,90,91,94,923,47,6,4,5,4,5,36,193,47,46,49,30,21,197,636,213,163,145,142,139,611
UPTON,461,98,46,22,38,30,41,363,7,2,2,0,0,0,6,0,0,0,0,0,0,0,5,4,0,0,0,2,8,257,98,47,52,74,51,370
UVALDE,463,370,163,126,166,138,150,1927,9,2,6,3,4,2,21,7,5,3,2,7,5,12,30,7,5,8,1,2,58,2170,709,722,681,570,499,3649
VAL VERDE,465,531,119,186,300,228,185,1526,57,17,25,23,18,15,87,16,4,13,12,11,13,40,59,11,19,25,16,14,67,4593,1537,1334,1356,1124,1128,7972
VAN ZANDT,467,3801,1548,1243,1293,1352,1413,15317,142,59,41,40,43,57,449,19,8,8,5,6,9,91,212,71,92,46,21,32,310,956,328,300,225,204,193,997
VICTORIA,469,2825,1000,970,1262,1206,1211,11789,481,227,229,212,165,174,1216,84,30,61,50,45,34,260,279,66,65,66,25,26,209,5015,1788,1676,1632,1540,1499,8403
WALKER,471,1836,1073,3338,1187,949,856,9293,909,550,1236,642,298,348,2370,50,14,88,35,31,23,153,210,69,140,65,32,29,175,1214,542,1138,604,293,275,1819
WALLER,473,1900,735,925,741,686,793,6965,757,1455,2501,403,199,202,1782,27,9,11,5,21,17,65,139,63,40,22,26,9,129,2535,922,969,606,470,590,2735
WARD,475,379,121,96,131,117,145,1003,64,18,16,12,15,14,90,0,0,2,0,0,1,6,28,6,4,5,6,5,19,780,276,194,214,202,221,1147
WASHINGTON,477,1352,773,462,494,548,545,7305,524,387,198,185,185,195,1410,29,18,32,26,20,9,151,104,28,22,10,14,3,82,891,336,292,191,183,213,875
WEBB,479,857,238,315,358,283,285,2499,57,23,25,14,22,18,68,119,62,46,65,34,67,322,64,14,19,18,10,15,115,32491,10530,10745,9757,7266,7567,49987
WHARTON,481,1211,495,446,447,470,517,5530,462,179,189,172,164,171,1324,13,6,14,18,7,7,42,75,16,17,11,12,13,79,2315,798,709,567,553,604,3262
WHEELER,483,234,68,61,98,69,105,970,9,6,5,4,4,4,17,4,0,0,0,0,0,9,14,7,5,2,3,11,20,189,81,46,45,32,43,250
WICHITA,485,5824,2346,2811,2521,2767,2507,21549,1129,452,633,544,443,349,2192,185,101,150,86,109,95,774,687,199,210,151,125,99,593,3457,1135,1167,941,943,846,3835
WILBARGER,487,411,190,164,188,232,223,2250,90,33,35,34,37,40,254,14,4,4,10,5,5,13,56,17,9,9,10,19,83,487,172,140,149,156,164,738
WILLACY,489,93,38,33,38,34,31,501,6,4,10,6,7,8,7,2,1,6,3,1,4,11,8,5,8,6,0,0,16,1720,614,578,589,487,440,3527
WILLIAMSON,491,28732,10883,9003,10772,12466,14432,102394,3809,1404,1319,1669,1588,1660,8935,4383,1452,957,1417,2004,2726,9457,3486,927,732,711,599,677,2642,19001,6888,5981,6304,6497,7005,29510
WILSON,493,2211,825,695,721,698,928,8043,44,17,20,26,17,16,155,19,1,1,7,5,7,60,90,33,17,20,19,21,131,2096,857,688,625,605,720,4737
WINKLER,495,230,71,44,88,86,80,675,11,0,0,5,2,2,37,2,2,0,0,0,0,1,28,7,9,4,5,1,20,610,219,182,138,117,156,835
WISE,497,4293,1554,1292,1454,1633,1652,15104,68,16,18,27,23,16,106,28,10,8,12,9,17,82,229,53,48,64,39,39,294,1923,714,559,479,485,494,2268
WOOD,499,2206,913,733,786,792,839,12344,124,143,261,46,36,45,415,6,4,8,6,2,7,55,137,27,40,26,16,14,202,663,214,208,174,153,135,743
YOAKUM,501,195,63,53,58,53,55,624,6,4,0,1,2,0,6,2,0,0,0,0,0,1,15,4,4,3,0,3,24,778,247,184,165,163,144,816
YOUNG,503,976,375,301,345,369,396,4075,22,4,5,5,6,6,37,2,1,0,0,5,2,20,51,13,11,13,10,9,77,485,182,126,105,135,112,549
ZAPATA,505,35,14,9,9,10,8,243,0,0,0,0,0,0,0,0,3,0,5,0,0,8,0,4,0,0,0,0,11,1655,521,481,421,369,407,2624
ZAVALA,507,54,16,11,16,11,12,126,3,0,0,1,0,0,2,0,0,0,0,0,0,0,1,2,5,1,0,0,4,969,361,324,318,273,244,1877
